question_id,score,status,clarity_precision,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
guiding_21014_302001_sibling_1,90%,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅
guiding_21015_302002_sibling_1,90%,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅
guiding_21016_302003_sibling_1,60%,❌,❌,✅,❌,❌,✅,✅,✅,✅,❌,✅
guiding_21017_302004_sibling_1,50%,❌,❌,✅,✅,❌,✅,❌,❌,✅,❌,✅
quiz_302005_sibling_1,90%,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅
quiz_302005_sibling_2,80%,✅,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅
quiz_302005_sibling_3,80%,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302005_sibling_4,80%,✅,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅
quiz_302006_sibling_1,90%,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅
quiz_302006_sibling_2,80%,✅,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅
quiz_302006_sibling_3,70%,✅,✅,✅,✅,❌,✅,✅,❌,✅,❌,✅
quiz_302006_sibling_4,70%,✅,✅,✅,✅,✅,✅,✅,❌,✅,❌,❌
quiz_302007_sibling_1,60%,❌,❌,✅,✅,✅,✅,❌,❌,✅,❌,✅
quiz_302007_sibling_2,60%,❌,❌,✅,✅,❌,✅,✅,❌,✅,❌,✅
quiz_302007_sibling_3,50%,❌,❌,✅,✅,❌,✅,❌,❌,✅,❌,✅
quiz_302007_sibling_4,50%,❌,❌,✅,✅,❌,✅,❌,❌,✅,❌,✅
quiz_302008_sibling_1,90%,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302008_sibling_2,80%,✅,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅
quiz_302008_sibling_3,80%,✅,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅
quiz_302008_sibling_4,80%,✅,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅
