question_id,score,status,passed,total,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
guiding_21014_302001_sibling_1,91%,✅,10,11,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
guiding_21015_302002_sibling_1,64%,❌,7,11,✅,❌,✅,✅,✅,✅,❌,❌,✅,❌,✅
guiding_21016_302003_sibling_1,91%,✅,10,11,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
guiding_21017_302004_sibling_1,73%,✅,8,11,✅,✅,✅,✅,❌,✅,❌,✅,✅,❌,✅
quiz_302005_sibling_1,82%,✅,9,11,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302005_sibling_2,91%,✅,10,11,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_3,73%,✅,8,11,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅,✅
quiz_302005_sibling_4,64%,❌,7,11,❌,✅,✅,✅,❌,❌,❌,✅,✅,✅,✅
quiz_302006_sibling_1,73%,✅,8,11,❌,✅,✅,✅,✅,✅,❌,❌,✅,✅,✅
quiz_302006_sibling_2,73%,✅,8,11,❌,✅,✅,✅,✅,✅,❌,❌,✅,✅,✅
quiz_302006_sibling_3,45%,❌,5,11,❌,❌,✅,✅,❌,✅,❌,❌,✅,❌,✅
quiz_302006_sibling_4,45%,❌,5,11,❌,❌,✅,❌,✅,❌,❌,❌,✅,✅,✅
quiz_302007_sibling_1,82%,✅,9,11,✅,✅,❌,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302007_sibling_2,64%,❌,7,11,✅,✅,✅,✅,❌,✅,❌,❌,✅,❌,✅
quiz_302007_sibling_3,73%,✅,8,11,✅,✅,✅,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_4,45%,❌,5,11,❌,❌,✅,✅,❌,✅,❌,❌,✅,❌,✅
quiz_302008_sibling_1,82%,✅,9,11,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302008_sibling_2,100%,✅,11,11,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_3,55%,❌,6,11,❌,✅,✅,✅,✅,❌,❌,❌,✅,❌,✅
quiz_302008_sibling_4,82%,✅,9,11,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
