question_id,score,status,passed,total,clarity_precision,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment
quiz_302005,89%,✅,8,9,✅,✅,✅,❌,✅,✅,✅,✅,✅
quiz_302005_sibling_1,89%,✅,8,9,✅,✅,✅,❌,✅,✅,✅,✅,✅
quiz_302005_sibling_2,100%,✅,9,9,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_3,78%,✅,7,9,✅,✅,❌,✅,✅,❌,✅,✅,✅
quiz_302005_sibling_4,89%,✅,8,9,✅,✅,✅,✅,✅,❌,✅,✅,✅
quiz_302006,56%,❌,5,9,❌,❌,✅,✅,✅,❌,❌,✅,✅
quiz_302006_sibling_1,89%,✅,8,9,✅,✅,✅,✅,✅,❌,✅,✅,✅
quiz_302006_sibling_2,89%,✅,8,9,✅,✅,✅,✅,✅,❌,✅,✅,✅
quiz_302006_sibling_3,100%,✅,9,9,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006_sibling_4,56%,❌,5,9,✅,✅,✅,❌,❌,❌,❌,✅,✅
quiz_302007,100%,✅,9,9,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_1,67%,❌,6,9,✅,✅,❌,✅,✅,❌,✅,✅,❌
quiz_302007_sibling_2,44%,❌,4,9,❌,✅,❌,✅,❌,❌,❌,✅,✅
quiz_302007_sibling_3,56%,❌,5,9,❌,✅,✅,✅,✅,❌,❌,✅,❌
quiz_302007_sibling_4,67%,❌,6,9,✅,❌,❌,✅,✅,❌,✅,✅,✅
quiz_302008,89%,✅,8,9,✅,❌,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_1,100%,✅,9,9,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_2,78%,✅,7,9,✅,✅,✅,✅,✅,❌,✅,✅,❌
quiz_302008_sibling_3,78%,✅,7,9,✅,✅,✅,✅,✅,❌,✅,✅,❌
quiz_302008_sibling_4,67%,❌,6,9,✅,❌,✅,✅,✅,❌,✅,❌,✅
